"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"30/04/2021","00:00","356,72","43,58","36,11"
"30/04/2021","01:00","356,72","43,58","36,11"
"30/04/2021","02:00","356,34","43,53","36,07"
"30/04/2021","03:00","356,11","43,50","36,04"
"30/04/2021","04:00","355,12","43,38","35,94"
"30/04/2021","05:00","353,51","43,18","35,78"
"30/04/2021","06:00","351,61","42,95","35,59"
"30/04/2021","07:00","352,03","43,00","35,63"
"30/04/2021","08:00","355,95","43,48","36,03"
"30/04/2021","09:00","355,76","43,46","36,01"
"30/04/2021","10:00","356,20","43,51","36,05"
"30/04/2021","11:00","357,21","43,64","36,16"
"30/04/2021","12:00","353,03","43,13","35,73"
"30/04/2021","13:00","352,43","43,05","35,67"
"30/04/2021","14:00","358,23","43,76","36,26"
"30/04/2021","15:00","358,76","43,83","36,31"
"30/04/2021","16:00","355,01","43,37","35,93"
"30/04/2021","17:00","356,01","43,49","36,03"
"30/04/2021","18:00","359,62","43,93","36,40"
"30/04/2021","19:00","376,71","46,02","38,13"
"30/04/2021","20:00","372,17","45,46","37,67"
"30/04/2021","21:00","369,02","45,08","37,35"
"30/04/2021","22:00","358,42","43,78","36,28"
"30/04/2021","23:00","355,04","43,37","35,94"
"01/05/2021","00:00","362,21","44,31","36,55"
"01/05/2021","01:00","363,93","44,52","36,73"
"01/05/2021","02:00","361,54","44,22","36,49"
"01/05/2021","03:00","360,22","44,06","36,35"
"01/05/2021","04:00","356,20","43,57","35,95"
"01/05/2021","05:00","349,00","42,69","35,22"
"01/05/2021","06:00","200,01","24,47","20,18"
"01/05/2021","07:00","250,01","30,58","25,23"
"01/05/2021","08:00","330,00","40,37","33,30"
"01/05/2021","09:00","205,00","25,08","20,69"
"01/05/2021","10:00","250,00","30,58","25,23"
"01/05/2021","11:00","284,99","34,86","28,76"
"01/05/2021","12:00","225,01","27,52","22,71"
"01/05/2021","13:00","285,00","34,86","28,76"
"01/05/2021","14:00","329,99","40,36","33,30"
"01/05/2021","15:00","350,51","42,87","35,37"
"01/05/2021","16:00","351,50","43,00","35,47"
"01/05/2021","17:00","358,49","43,85","36,18"
"01/05/2021","18:00","369,92","45,25","37,33"
"01/05/2021","19:00","376,37","46,04","37,98"
"01/05/2021","20:00","374,79","45,84","37,82"
"01/05/2021","21:00","372,36","45,55","37,58"
"01/05/2021","22:00","366,72","44,86","37,01"
"01/05/2021","23:00","363,78","44,50","36,71"
"02/05/2021","00:00","375,30","45,60","37,70"
"02/05/2021","01:00","371,60","45,15","37,33"
"02/05/2021","02:00","370,47","45,01","37,22"
"02/05/2021","03:00","370,00","44,95","37,17"
"02/05/2021","04:00","363,22","44,13","36,49"
"02/05/2021","05:00","357,29","43,41","35,89"
"02/05/2021","06:00","352,85","42,87","35,45"
"02/05/2021","07:00","352,52","42,83","35,41"
"02/05/2021","08:00","290,00","35,23","29,13"
"02/05/2021","09:00","114,58","13,92","11,51"
"02/05/2021","10:00","187,99","22,84","18,88"
"02/05/2021","11:00","209,99","25,51","21,09"
"02/05/2021","12:00","188,00","22,84","18,89"
"02/05/2021","13:00","310,00","37,66","31,14"
"02/05/2021","14:00","350,00","42,52","35,16"
"02/05/2021","15:00","284,87","34,61","28,62"
"02/05/2021","16:00","351,31","42,68","35,29"
"02/05/2021","17:00","359,99","43,74","36,16"
"02/05/2021","18:00","375,00","45,56","37,67"
"02/05/2021","19:00","450,00","54,67","45,21"
"02/05/2021","20:00","450,00","54,67","45,21"
"02/05/2021","21:00","470,01","57,10","47,22"
"02/05/2021","22:00","379,18","46,07","38,09"
"02/05/2021","23:00","373,58","45,39","37,53"
"03/05/2021","00:00","356,52","43,31","35,81"
"03/05/2021","01:00","357,51","43,43","35,91"
"03/05/2021","02:00","354,56","43,08","35,62"
"03/05/2021","03:00","352,80","42,86","35,44"
"03/05/2021","04:00","349,99","42,52","35,16"
"03/05/2021","05:00","337,34","40,98","33,89"
"03/05/2021","06:00","281,41","34,19","28,27"
"03/05/2021","07:00","338,61","41,14","34,02"
"03/05/2021","08:00","356,24","43,28","35,79"
"03/05/2021","09:00","365,55","44,41","36,72"
"03/05/2021","10:00","365,04","44,35","36,67"
"03/05/2021","11:00","365,04","44,35","36,67"
"03/05/2021","12:00","355,77","43,22","35,74"
"03/05/2021","13:00","362,13","44,00","36,38"
"03/05/2021","14:00","369,99","44,95","37,17"
"03/05/2021","15:00","369,99","44,95","37,17"
"03/05/2021","16:00","361,04","43,86","36,27"
"03/05/2021","17:00","369,11","44,84","37,08"
"03/05/2021","18:00","379,42","46,10","38,12"
"03/05/2021","19:00","500,00","60,75","50,23"
"03/05/2021","20:00","499,03","60,63","50,13"
"03/05/2021","21:00","490,00","59,53","49,22"
"03/05/2021","22:00","378,57","45,99","38,03"
"03/05/2021","23:00","365,52","44,41","36,72"
"04/05/2021","00:00","360,96","43,85","36,26"
"04/05/2021","01:00","356,31","43,29","35,79"
"04/05/2021","02:00","350,41","42,57","35,20"
"04/05/2021","03:00","349,99","42,52","35,16"
"04/05/2021","04:00","344,83","41,89","34,64"
"04/05/2021","05:00","333,38","40,50","33,49"
"04/05/2021","06:00","270,89","32,91","27,21"
"04/05/2021","07:00","292,99","35,60","29,43"
"04/05/2021","08:00","339,51","41,25","34,11"
"04/05/2021","09:00","346,70","42,12","34,83"
"04/05/2021","10:00","355,45","43,18","35,71"
"04/05/2021","11:00","364,78","44,32","36,64"
"04/05/2021","12:00","353,21","42,91","35,48"
"04/05/2021","13:00","358,79","43,59","36,04"
"04/05/2021","14:00","367,61","44,66","36,93"
"04/05/2021","15:00","364,16","44,24","36,58"
"04/05/2021","16:00","354,01","43,01","35,56"
"04/05/2021","17:00","355,71","43,22","35,73"
"04/05/2021","18:00","363,68","44,18","36,53"
"04/05/2021","19:00","370,75","45,04","37,24"
"04/05/2021","20:00","368,64","44,79","37,03"
"04/05/2021","21:00","370,37","45,00","37,21"
"04/05/2021","22:00","366,17","44,49","36,78"
"04/05/2021","23:00","360,91","43,85","36,26"
"05/05/2021","00:00","359,95","43,41","36,04"
"05/05/2021","01:00","363,01","43,78","36,34"
"05/05/2021","02:00","361,59","43,61","36,20"
"05/05/2021","03:00","360,16","43,43","36,06"
"05/05/2021","04:00","356,65","43,01","35,71"
"05/05/2021","05:00","344,11","41,50","34,45"
"05/05/2021","06:00","284,77","34,34","28,51"
"05/05/2021","07:00","308,58","37,21","30,89"
"05/05/2021","08:00","356,35","42,98","35,68"
"05/05/2021","09:00","362,68","43,74","36,31"
"05/05/2021","10:00","366,62","44,21","36,70"
"05/05/2021","11:00","364,99","44,02","36,54"
"05/05/2021","12:00","357,82","43,15","35,82"
"05/05/2021","13:00","366,59","44,21","36,70"
"05/05/2021","14:00","378,87","45,69","37,93"
"05/05/2021","15:00","389,00","46,91","38,94"
"05/05/2021","16:00","388,99","46,91","38,94"
"05/05/2021","17:00","400,00","48,24","40,05"
"05/05/2021","18:00","489,99","59,09","49,06"
"05/05/2021","19:00","529,00","63,80","52,96"
"05/05/2021","20:00","500,00","60,30","50,06"
"05/05/2021","21:00","499,58","60,25","50,02"
"05/05/2021","22:00","439,99","53,06","44,05"
"05/05/2021","23:00","373,30","45,02","37,37"
"06/05/2021","00:00","372,47","44,83","37,31"
"06/05/2021","01:00","367,72","44,26","36,83"
"06/05/2021","02:00","364,90","43,92","36,55"
"06/05/2021","03:00","361,90","43,55","36,25"
"06/05/2021","04:00","359,39","43,25","36,00"
"06/05/2021","05:00","348,39","41,93","34,90"
"06/05/2021","06:00","341,67","41,12","34,22"
"06/05/2021","07:00","345,52","41,58","34,61"
"06/05/2021","08:00","365,41","43,98","36,60"
"06/05/2021","09:00","376,42","45,30","37,70"
"06/05/2021","10:00","390,00","46,94","39,06"
"06/05/2021","11:00","399,99","48,14","40,06"
"06/05/2021","12:00","376,21","45,28","37,68"
"06/05/2021","13:00","400,00","48,14","40,07"
"06/05/2021","14:00","490,00","58,97","49,08"
"06/05/2021","15:00","489,99","58,97","49,08"
"06/05/2021","16:00","436,54","52,54","43,73"
"06/05/2021","17:00","429,99","51,75","43,07"
"06/05/2021","18:00","429,99","51,75","43,07"
"06/05/2021","19:00","490,00","58,97","49,08"
"06/05/2021","20:00","430,00","51,75","43,07"
"06/05/2021","21:00","439,99","52,95","44,07"
"06/05/2021","22:00","379,76","45,70","38,04"
"06/05/2021","23:00","367,92","44,28","36,85"
"07/05/2021","00:00","366,80","43,98","36,64"
"07/05/2021","01:00","365,16","43,78","36,48"
"07/05/2021","02:00","362,86","43,51","36,25"
"07/05/2021","03:00","359,89","43,15","35,95"
"07/05/2021","04:00","355,65","42,64","35,53"
"07/05/2021","05:00","344,71","41,33","34,43"
"07/05/2021","06:00","304,01","36,45","30,37"
"07/05/2021","07:00","341,70","40,97","34,13"
"07/05/2021","08:00","357,09","42,82","35,67"
"07/05/2021","09:00","359,74","43,13","35,93"
"07/05/2021","10:00","366,46","43,94","36,61"
"07/05/2021","11:00","373,21","44,75","37,28"
"07/05/2021","12:00","363,59","43,60","36,32"
"07/05/2021","13:00","362,59","43,48","36,22"
"07/05/2021","14:00","377,50","45,26","37,71"
"07/05/2021","15:00","394,99","47,36","39,46"
"07/05/2021","16:00","375,00","44,96","37,46"
"07/05/2021","17:00","395,00","47,36","39,46"
"07/05/2021","18:00","449,99","53,96","44,95"
"07/05/2021","19:00","505,00","60,55","50,45"
"07/05/2021","20:00","449,99","53,96","44,95"
"07/05/2021","21:00","449,99","53,96","44,95"
"07/05/2021","22:00","378,36","45,37","37,79"
"07/05/2021","23:00","365,98","43,88","36,56"
"08/05/2021","00:00","366,93","44,18","36,70"
"08/05/2021","01:00","367,79","44,28","36,79"
"08/05/2021","02:00","364,99","43,94","36,51"
"08/05/2021","03:00","362,54","43,65","36,26"
"08/05/2021","04:00","361,64","43,54","36,17"
"08/05/2021","05:00","349,57","42,09","34,96"
"08/05/2021","06:00","328,00","39,49","32,81"
"08/05/2021","07:00","340,90","41,04","34,10"
"08/05/2021","08:00","349,99","42,14","35,01"
"08/05/2021","09:00","349,99","42,14","35,01"
"08/05/2021","10:00","354,61","42,69","35,47"
"08/05/2021","11:00","360,58","43,41","36,07"
"08/05/2021","12:00","361,97","43,58","36,20"
"08/05/2021","13:00","365,00","43,94","36,51"
"08/05/2021","14:00","365,25","43,97","36,53"
"08/05/2021","15:00","363,23","43,73","36,33"
"08/05/2021","16:00","357,68","43,06","35,78"
"08/05/2021","17:00","358,75","43,19","35,88"
"08/05/2021","18:00","366,94","44,18","36,70"
"08/05/2021","19:00","374,70","45,11","37,48"
"08/05/2021","20:00","370,12","44,56","37,02"
"08/05/2021","21:00","367,03","44,19","36,71"
"08/05/2021","22:00","359,99","43,34","36,01"
"08/05/2021","23:00","350,00","42,14","35,01"
"09/05/2021","00:00","375,67","45,41","37,61"
"09/05/2021","01:00","363,61","43,95","36,41"
